region,icvf
lh.bankssts,0.2425592266958071
lh.caudalanteriorcingulate,0.2354635831106525
lh.caudalmiddlefrontal,0.2506403600492007
lh.cuneus,0.2660801713471188
lh.entorhinal,0.3143191459328726
lh.fusiform,0.2792889678072008
lh.inferiorparietal,0.2390763504848306
lh.inferiortemporal,0.2635975064717166
lh.isthmuscingulate,0.2953996161437446
lh.lateraloccipital,0.2703312569466709
lh.lateralorbitofrontal,0.2954597822947439
lh.lingual,0.2958887653141446
lh.medialorbitofrontal,0.3064922539302457
lh.middletemporal,0.232790398316531
lh.parahippocampal,0.2983049532015423
lh.paracentral,0.2815138510849542
lh.parsopercularis,0.2455588638417936
lh.parsorbitalis,0.2357369986694914
lh.parstriangularis,0.2433873355249743
lh.pericalcarine,0.2877418716300098
lh.postcentral,0.2726640444384328
lh.posteriorcingulate,0.2566767447931735
lh.precentral,0.2761019126905228
lh.precuneus,0.2550119744212875
lh.rostralanteriorcingulate,0.2357176758859302
lh.rostralmiddlefrontal,0.2251895527332544
lh.superiorfrontal,0.2464084848773769
lh.superiorparietal,0.2625550102678986
lh.superiortemporal,0.2482218880895417
lh.supramarginal,0.2405025737614868
lh.frontalpole,0.2468861095783665
lh.temporalpole,0.2752828438559707
lh.transversetemporal,0.3025190228167688
lh.insula,0.2548924877835381
rh.bankssts,0.2375419298072986
rh.caudalanteriorcingulate,0.2433031824897057
rh.caudalmiddlefrontal,0.2590541051768288
rh.cuneus,0.2705576404346502
rh.entorhinal,0.3135380769174695
rh.fusiform,0.280303758888945
rh.inferiorparietal,0.2373015580744325
rh.inferiortemporal,0.2663372880510419
rh.isthmuscingulate,0.2962853241750185
rh.lateraloccipital,0.262766263854802
rh.lateralorbitofrontal,0.3020140697006365
rh.lingual,0.2912258483258653
rh.medialorbitofrontal,0.3027625359483242
rh.middletemporal,0.2334095561674999
rh.parahippocampal,0.3006367392178582
rh.paracentral,0.2924782692162667
rh.parsopercularis,0.249676875775356
rh.parsorbitalis,0.2400853848867331
rh.parstriangularis,0.2469974785642353
rh.pericalcarine,0.2874920878539058
rh.postcentral,0.2794108608972022
rh.posteriorcingulate,0.2638702473996668
rh.precentral,0.2779773896220219
rh.precuneus,0.2588539998755326
rh.rostralanteriorcingulate,0.2421926612838969
rh.rostralmiddlefrontal,0.2324719271836633
rh.superiorfrontal,0.2500553555449408
rh.superiorparietal,0.2553470425351011
rh.superiortemporal,0.2462949096549923
rh.supramarginal,0.2411196898186433
rh.frontalpole,0.248381407276101
rh.temporalpole,0.2786993734594893
rh.transversetemporal,0.3015856591983273
rh.insula,0.2521583410497914
