region,myl
lh.bankssts,1.802877763204912
lh.caudalanteriorcingulate,1.6762595067648778
lh.caudalmiddlefrontal,1.8623145850929053
lh.cuneus,2.046063143597323
lh.entorhinal,1.7163314343490124
lh.fusiform,1.7787545376656704
lh.inferiorparietal,1.7425360729193735
lh.inferiortemporal,1.6701015543788982
lh.isthmuscingulate,2.0630655586099924
lh.lateraloccipital,1.9114377344968163
lh.lateralorbitofrontal,1.7718608642070557
lh.lingual,2.01656463686493
lh.medialorbitofrontal,1.71934829680191
lh.middletemporal,1.710655418602196
lh.parahippocampal,1.9031662653488823
lh.paracentral,1.952134986925026
lh.parsopercularis,1.8791195558163327
lh.parsorbitalis,1.775073902027027
lh.parstriangularis,1.882078682310616
lh.pericalcarine,2.10131328368633
lh.postcentral,1.98809814453125
lh.posteriorcingulate,1.8271475492544829
lh.precentral,2.0239004028066527
lh.precuneus,1.8312672319630328
lh.rostralanteriorcingulate,1.673758841849662
lh.rostralmiddlefrontal,1.8081559718522608
lh.superiorfrontal,1.755864196904236
lh.superiorparietal,1.8433716074096933
lh.superiortemporal,1.861381673515463
lh.supramarginal,1.7870046889211928
lh.frontalpole,1.7201737306717777
lh.temporalpole,1.527485488606094
lh.transversetemporal,2.258938541531315
lh.insula,1.820301460377144
rh.bankssts,1.8710770002273909
rh.caudalanteriorcingulate,1.6523785184673856
rh.caudalmiddlefrontal,1.7694717375503508
rh.cuneus,2.1360282025565227
rh.entorhinal,1.6401303741391633
rh.fusiform,1.8473725190033785
rh.inferiorparietal,1.850562335547687
rh.inferiortemporal,1.6841317729989604
rh.isthmuscingulate,2.1551572042294698
rh.lateraloccipital,2.020045417262214
rh.lateralorbitofrontal,1.712455004019945
rh.lingual,2.162809312467516
rh.medialorbitofrontal,1.664572860495712
rh.middletemporal,1.6856711024801845
rh.parahippocampal,1.9231378313409564
rh.paracentral,1.9685153762912555
rh.parsopercularis,1.7490679766680743
rh.parsorbitalis,1.6564145792051066
rh.parstriangularis,1.744992579343165
rh.pericalcarine,2.2319150674863564
rh.postcentral,1.9671037003800675
rh.posteriorcingulate,1.8635698029008576
rh.precentral,1.973021065123116
rh.precuneus,1.9338366217028329
rh.rostralanteriorcingulate,1.6078109265365124
rh.rostralmiddlefrontal,1.6811967560258576
rh.superiorfrontal,1.6961817116846414
rh.superiorparietal,1.9182283714754416
rh.superiortemporal,1.7788391747742334
rh.supramarginal,1.8103004503150988
rh.frontalpole,1.6588511635508705
rh.temporalpole,1.5558924684901247
rh.transversetemporal,2.216923259647869
rh.insula,1.7701272627420088
