region,F4_li
V1,0.22419690710273343
MST,-0.057674809072162714
V6,0.41052233381789116
V2,0.028182417703343288
V3,0.02880675563118662
V4,0.04855448190248135
V8,0.4431304647651805
4,-0.20372126783815953
3b,0.8835684474767587
FEF,0.039694174728636566
PEF,-0.21708820503234305
55b,0.29406822369969976
V3A,-0.4489862498440309
RSC,0.04916336181569525
POS2,0.2937292925445147
V7,-0.5140279833820864
IPS1,-0.39506931852231975
FFC,0.4257790402095149
V3B,0.048031391000140866
LO1,-0.026791313960615848
LO2,0.029524812304170922
PIT,0.005399452231822532
MT,0.22207858917796897
A1,-0.23584797180088501
PSL,-0.05315870944339477
SFL,0.17264072014334775
PCV,0.5099352353195047
STV,0.21158575319278008
7Pm,0.5211359847208935
7m,0.4922671381403817
POS1,-0.10898528362074233
23d,-0.06013489022815306
v23ab,-0.05446895969581178
d23ab,0.016442072640033722
31pv,0.2481092037422091
5m,0.4474838163237751
5mv,-0.3853845085917653
23c,0.21024888526681573
5L,0.2207853576015926
24dd,0.3580356161713319
24dv,0.19934860598070678
7AL,0.033305458902624485
SCEF,0.4944464632904003
6ma,-0.07887589900296882
7Am,0.29333549453310637
7Pl,0.13942167252559137
7PC,-0.07228589233766042
LIPv,-0.033591826127412516
VIP,0.07558185876853529
MIP,-0.24852184850379844
1,0.4753153386352186
2,0.10242109551618905
3a,-0.23131341469481193
6d,-0.0588712290308262
6mp,0.07729976468286792
6v,0.6183249233293298
p24pr,0.1716493969824144
33pr,-0.25283203326663006
a24pr,-0.45987421455025945
p32pr,0.5345839119621301
a24,0.601804888022689
d32,0.7585886858003666
8BM,0.7420684295633074
p32,0.9663738777133608
10r,0.624535406943145
47m,0.6141529273027139
8Av,0.10321006153079765
8Ad,0.061410604911752764
9m,0.9130010523584804
8BL,0.09587538626261649
9p,0.05400164299019092
10d,0.33719035043088813
8C,0.15833261290391182
44,-0.2104496657599657
45,0.08645076433921584
47l,0.09206986839537501
a47r,0.5060862987431121
6r,-0.2874690078330383
IFJa,-0.23426827495151917
IFJp,-0.5031216224089554
IFSp,-0.18915906437677854
IFSa,-0.20018247053153593
p9-46v,0.4330181973671451
46,0.6599618341554352
a9-46v,0.03229774365065369
9-46d,0.209854542496547
9a,-0.1312672295055637
10v,-0.06993651374453458
a10p,-0.32211055171183867
10pp,-0.23328723666571788
11l,0.1472288608722227
13l,-0.06214876844730344
OFC,0.35644688048393014
47s,-0.2054490183699631
LIPd,-0.15292242470943962
6a,-0.001850773836185149
i6-8,0.06373877400953276
s6-8,0.1082646942269447
43,0.2957163401389987
OP4,0.39634715445753466
OP1,0.20634915881761762
OP2-3,0.7423389680838519
52,0.21915548531150542
RI,0.42777134149361595
PFcm,0.016520396234733115
PoI2,-0.353810845809154
TA2,0.7973712992444983
FOP4,0.8039687564649383
MI,-0.136895609003729
Pir,0.6925944455275088
AVI,-0.020635433708034112
AAIC,0.44397387670730737
FOP1,0.39759661287996706
FOP3,0.6782196765604291
FOP2,0.49515293260792725
PFt,0.27862834305382234
AIP,-0.038433199192662415
EC,0.18028885924241944
PreS,0.1144009657543843
H,-0.3090347681791256
ProS,-0.08702278704522426
PeEc,0.03154921171688774
STGa,0.44427332567659117
PBelt,-0.943537325967998
A5,0.640994950558388
PHA1,-0.04256049887287183
PHA3,0.2667171308060651
STSda,0.42540022681108625
STSdp,0.315871128462628
STSvp,-0.4612895097585742
TGd,0.10859424906844461
TE1a,0.27998358446242944
TE1p,0.4525963850154132
TE2a,0.22341758148858926
TF,0.44684664344543795
TE2p,0.5826984716250972
PHT,0.38426016400382157
PH,0.1259257219305628
TPOJ1,0.16486090009133422
TPOJ2,-0.057324302185722376
TPOJ3,-0.22770596032400392
DVT,0.2053384633445186
PGp,-0.03041368405303023
IP2,0.1878768017507848
IP1,0.02346975429148679
IP0,0.2803475767360877
PFop,0.1405133855656827
PF,0.3837470195293895
PFm,0.010152190997257837
PGi,-0.020408093133043835
PGs,-0.15955884164470643
V6A,-0.38254973674712495
VMV1,0.38609460064527534
VMV3,0.10497915332007401
PHA2,0.8881522196858835
V4t,0.21700564867307626
FST,0.07769145262730498
V3CD,0.03596946914240473
LO3,-0.056095431276893204
VMV2,0.5072994864636161
31pd,0.3622163479161734
31a,0.32272631066393753
VVC,0.5571437327257366
25,-0.7169009525760851
s32,-0.6046698246410415
pOFC,-0.29841850123687463
PoI1,-0.3250101415377653
Ig,-0.22455716319161245
FOP5,0.14554318369828967
p10p,-0.1448465887346836
p47r,-0.41856256460183977
TGv,-0.31047575669838573
MBelt,-0.25836304184604386
LBelt,-0.5990825419581818
A4,0.06068476528071601
STSva,-0.13353795954958536
TE1m,0.3560069834322196
PI,0.9501282671217921
a32pr,0.9039870917498678
p24,-0.2685120965077966
