region,mkt_icc
V1_L,0.9319406482350827
MST_L,0.9169547974049127
V6_L,0.9284145067636562
V2_L,0.916826981451732
V3_L,0.9164628562112844
V4_L,0.9243650663463663
V8_L,0.9247013488190626
4_L,0.794429657984793
3b_L,0.746581260749939
FEF_L,0.8614030850765783
PEF_L,0.8877666527841637
55b_L,0.8759590362514789
V3A_L,0.9254764383086905
RSC_L,0.9028550610102393
POS2_L,0.9344149747736923
V7_L,0.9500811363307492
IPS1_L,0.9244665359198012
FFC_L,0.9276979136898678
V3B_L,0.9292907995045215
LO1_L,0.9219846308202885
LO2_L,0.9372831569991765
PIT_L,0.9175729620142629
MT_L,0.9229161004370979
A1_L,0.8573566763055511
PSL_L,0.9176732021742923
SFL_L,0.7786863120107856
PCV_L,0.8777590569412983
STV_L,0.9091261018110373
7Pm_L,0.9022367455541941
7m_L,0.9270164683215647
POS1_L,0.9245045176085952
23d_L,0.9172463448328925
v23ab_L,0.9572818732823988
d23ab_L,0.9228927417529319
31pv_L,0.908204428758397
5m_L,0.7738929575307608
5mv_L,0.8288754362808858
23c_L,0.9170187491413663
5L_L,0.812398249225487
24dd_L,0.8571647208602112
24dv_L,0.9039482204068112
7AL_L,0.8730943526494394
SCEF_L,0.7511354174792763
6ma_L,0.7946279424962841
7Am_L,0.889431943421347
7Pl_L,0.9432801096428522
7PC_L,0.9229358240189915
LIPv_L,0.9195739407068618
VIP_L,0.9211539324444256
MIP_L,0.9288667339392929
1_L,0.825136077263011
2_L,0.8892731184083222
3a_L,0.8668816253571884
6d_L,0.7234600487590852
6mp_L,0.8059250541971872
6v_L,0.8614400314990427
p24pr_L,0.9326585554410401
33pr_L,0.8677302189670175
a24pr_L,0.8424512332020998
p32pr_L,0.8373089230489791
a24_L,0.743210974652448
d32_L,0.6705842551196699
8BM_L,0.7619783568391877
p32_L,0.7213801994088914
10r_L,0.8261000854562587
47m_L,0.8847279916815385
8Av_L,0.8538367677222373
8Ad_L,0.852749779366241
9m_L,0.7443423423990045
8BL_L,0.8332976017118084
9p_L,0.8644766789625435
10d_L,0.7620507431942414
8C_L,0.8793832265413856
44_L,0.8565286764174829
45_L,0.8758510589156218
47l_L,0.867618829138837
a47r_L,0.8988955880816331
6r_L,0.8320232509731124
IFJa_L,0.8839058722756639
IFJp_L,0.8909705155258678
IFSp_L,0.842510961657366
IFSa_L,0.8375712781210317
p9-46v_L,0.8640089419624746
46_L,0.8296989198949369
a9-46v_L,0.7978758806166852
9-46d_L,0.7948531833772989
9a_L,0.8262114597758041
10v_L,0.861155364225927
a10p_L,0.7691999225718705
10pp_L,0.8465751901607024
11l_L,0.8828411965043301
13l_L,0.8630280729491856
OFC_L,0.6719894205825628
47s_L,0.871258171979644
LIPd_L,0.9242767196506777
6a_L,0.841020945750311
i6-8_L,0.8868370363480964
s6-8_L,0.8411213802822488
43_L,0.9028199400621386
OP4_L,0.8901193136966553
OP1_L,0.8699799598474084
OP2-3_L,0.8877375483300993
52_L,0.9419813111923551
RI_L,0.8844489644622526
PFcm_L,0.8761412022111281
PoI2_L,0.8831672596003994
TA2_L,0.9062455884258123
FOP4_L,0.754389097172438
MI_L,0.8300289862513603
Pir_L,0.8436628800084452
AVI_L,0.8041927170868297
AAIC_L,0.8865388684030088
FOP1_L,0.836058868712378
FOP3_L,0.8479828652743451
FOP2_L,0.799779527052438
PFt_L,0.899374336562703
AIP_L,0.919626811070362
EC_L,0.8677262055999575
PreS_L,0.8622100193227883
H_L,0.9341913428704527
ProS_L,0.9119798127267087
PeEc_L,0.9119269559342617
STGa_L,0.8906773200523503
PBelt_L,0.8998717060170919
A5_L,0.906018811915359
PHA1_L,0.9436373986139275
PHA3_L,0.9555218360826451
STSda_L,0.9203392847053949
STSdp_L,0.955627759133117
STSvp_L,0.9374865615087593
TGd_L,0.8747183213118599
TE1a_L,0.922284798074144
TE1p_L,0.9256846370151885
TE2a_L,0.9237990855156792
TF_L,0.9073541071910066
TE2p_L,0.9527636717158955
PHT_L,0.91427578687532
PH_L,0.9037633315504333
TPOJ1_L,0.9351205156889809
TPOJ2_L,0.9353854080909885
TPOJ3_L,0.96199177889729
DVT_L,0.918642822420007
PGp_L,0.8918362645734275
IP2_L,0.9198147915207078
IP1_L,0.948266400116512
IP0_L,0.9034240844582918
PFop_L,0.874271972228413
PF_L,0.8757037640706501
PFm_L,0.8996740261576077
PGi_L,0.9105575726928876
PGs_L,0.8887764549408735
V6A_L,0.9379282437370562
VMV1_L,0.9439363737908677
VMV3_L,0.9280409385918422
PHA2_L,0.9434400615200369
V4t_L,0.9156264026884561
FST_L,0.9305723298455122
V3CD_L,0.9362423966035834
LO3_L,0.910920834575853
VMV2_L,0.9254053304636883
31pd_L,0.8975761826823234
31a_L,0.9102702435486354
VVC_L,0.9214947715273004
25_L,0.9238367875028097
s32_L,0.8854263022281595
pOFC_L,0.9246256527638056
PoI1_L,0.9234729532435217
Ig_L,0.8961565103094313
FOP5_L,0.7346533421763245
p10p_L,0.7993326000432599
p47r_L,0.810567841135574
TGv_L,0.9141683807244356
MBelt_L,0.9162589939820416
LBelt_L,0.9295635289260638
A4_L,0.8972463450003564
STSva_L,0.9077965311097971
TE1m_L,0.9477383610527156
PI_L,0.9054148562406817
a32pr_L,0.7291180833308095
p24_L,0.6365309426028628
V1_R,0.9068920407474301
MST_R,0.8978744826382047
V6_R,0.9202572856136879
V2_R,0.9136968059276264
V3_R,0.9037831957975074
V4_R,0.8710093875311155
V8_R,0.884879493350362
4_R,0.8067095732017915
3b_R,0.8562510811326434
FEF_R,0.8243281528538066
PEF_R,0.8611922282945824
55b_R,0.8557812206308749
V3A_R,0.8942055570083445
RSC_R,0.8919781024476187
POS2_R,0.9253901818958552
V7_R,0.9002680239755612
IPS1_R,0.8558805397165052
FFC_R,0.8890672868961611
V3B_R,0.8730450726798904
LO1_R,0.8845057915338704
LO2_R,0.9098548142253682
PIT_R,0.8820731812717096
MT_R,0.8740479318635482
A1_R,0.8334273694927108
PSL_R,0.8183152334504362
SFL_R,0.7750372739528297
PCV_R,0.9095923683748257
STV_R,0.8872425769388694
7Pm_R,0.903290216662243
7m_R,0.9335832360602448
POS1_R,0.937413572768351
23d_R,0.9129180065892352
v23ab_R,0.9291683060860787
d23ab_R,0.9128725157562908
31pv_R,0.9176078212593718
5m_R,0.8464594726329474
5mv_R,0.8940763041801499
23c_R,0.9163620538835037
5L_R,0.8373038881219494
24dd_R,0.8776555838265139
24dv_R,0.8945025709138436
7AL_R,0.8104475394277797
SCEF_R,0.8306761907625658
6ma_R,0.7464569201917839
7Am_R,0.8582563658418092
7Pl_R,0.8870373115532296
7PC_R,0.856431584792049
LIPv_R,0.8789449412338289
VIP_R,0.8857584479040506
MIP_R,0.9048744207536319
1_R,0.7975140879983087
2_R,0.8317528106905275
3a_R,0.8295451367289806
6d_R,0.7789098732541462
6mp_R,0.7644223353644939
6v_R,0.8174112850114641
p24pr_R,0.9438725991662587
33pr_R,0.9091186916644205
a24pr_R,0.8840352217957631
p32pr_R,0.8784121123882688
a24_R,0.8295630010240994
d32_R,0.7601703249925805
8BM_R,0.8027641929716356
p32_R,0.8026675199931163
10r_R,0.8505273843570655
47m_R,0.899499795022842
8Av_R,0.7898877070000984
8Ad_R,0.7560413494789237
9m_R,0.7775884983508335
8BL_R,0.8057892889757272
9p_R,0.8401562450605566
10d_R,0.7771869276982414
8C_R,0.799730781583323
44_R,0.7794199428639202
45_R,0.8679181613737302
47l_R,0.8517175523780833
a47r_R,0.8482947221916572
6r_R,0.7850490044386161
IFJa_R,0.8135399809643359
IFJp_R,0.8165918199504288
IFSp_R,0.8200997569840522
IFSa_R,0.7987678906301906
p9-46v_R,0.7803219759891709
46_R,0.7919860801710429
a9-46v_R,0.7718240421638175
9-46d_R,0.7566509184043655
9a_R,0.8074944466742952
10v_R,0.839941877185884
a10p_R,0.8190137590493136
10pp_R,0.8606123361921548
11l_R,0.8560214207520811
13l_R,0.8720758203441329
OFC_R,0.6910133987056293
47s_R,0.8981264001454373
LIPd_R,0.8812167201043858
6a_R,0.8105062491763576
i6-8_R,0.8144889006759866
s6-8_R,0.7625426046271
43_R,0.8341327014480444
OP4_R,0.830281077395687
OP1_R,0.8341933295250965
OP2-3_R,0.8568545437091103
52_R,0.9022233550298311
RI_R,0.8739004301690146
PFcm_R,0.8063315966342579
PoI2_R,0.8577120638113028
TA2_R,0.8354636825840577
FOP4_R,0.7941258343671993
MI_R,0.7863965551916646
Pir_R,0.8846765025482072
AVI_R,0.7856973471776484
AAIC_R,0.852488702909881
FOP1_R,0.7654971522795119
FOP3_R,0.8015512593594437
FOP2_R,0.8291277448007743
PFt_R,0.8516704502969626
AIP_R,0.8835900126141975
EC_R,0.9146645152650459
PreS_R,0.8708336322024922
H_R,0.9367085187382524
ProS_R,0.932360181212387
PeEc_R,0.92213238079673
STGa_R,0.790416553578146
PBelt_R,0.8808493552558428
A5_R,0.8864364779188543
PHA1_R,0.9358459457219641
PHA3_R,0.9336539544782929
STSda_R,0.8402112197922404
STSdp_R,0.8625010837331655
STSvp_R,0.88147327079002
TGd_R,0.8557627262895838
TE1a_R,0.8878670309761053
TE1p_R,0.9333945050281689
TE2a_R,0.9151765979434725
TF_R,0.8659812266335071
TE2p_R,0.9166066951845082
PHT_R,0.8933398025488829
PH_R,0.888764873381539
TPOJ1_R,0.8933534430540527
TPOJ2_R,0.8560825216184278
TPOJ3_R,0.8720912605729911
DVT_R,0.8989395194489195
PGp_R,0.878057914443774
IP2_R,0.8822168195013858
IP1_R,0.9000315604191194
IP0_R,0.8946395738272352
PFop_R,0.8458997656032844
PF_R,0.8539236537969438
PFm_R,0.852998588381069
PGi_R,0.8396242530212809
PGs_R,0.8531077301488734
V6A_R,0.8794038488722056
VMV1_R,0.9394884715767711
VMV3_R,0.9162636750361688
PHA2_R,0.935731329898942
V4t_R,0.8756318878909919
FST_R,0.8972192319396053
V3CD_R,0.8645357023226268
LO3_R,0.8685913373553764
VMV2_R,0.9411774795384337
31pd_R,0.9407059534785835
31a_R,0.9250118915714942
VVC_R,0.9257889313850247
25_R,0.9486824865632965
s32_R,0.9059803943241054
pOFC_R,0.9115911220712604
PoI1_R,0.902513999931854
Ig_R,0.8415072070383813
FOP5_R,0.7759728047657883
p10p_R,0.7738085287948611
p47r_R,0.8604842229159558
TGv_R,0.9343787648743673
MBelt_R,0.8968791674997888
LBelt_R,0.8570427577246134
A4_R,0.8486277885492276
STSva_R,0.8425099054144467
TE1m_R,0.9406698501348413
PI_R,0.8557526297648714
a32pr_R,0.8453831572728203
p24_R,0.7330493712687339
