region,kfa_retest_cov
V1_L,1.8135647608892538
MST_L,2.0947118729786602
V6_L,2.0684916335951278
V2_L,1.5091782586371711
V3_L,1.3961266383220028
V4_L,1.5042902947641417
V8_L,1.831464884762098
4_L,1.495295226666199
3b_L,1.9470467970323524
FEF_L,2.390996393347497
PEF_L,2.3416062871936076
55b_L,2.16000253090023
V3A_L,1.5761808277962994
RSC_L,1.8191436846735514
POS2_L,1.4260175888304478
V7_L,1.6801505352688162
IPS1_L,1.4289958936243048
FFC_L,1.986194106960152
V3B_L,1.7120043457462024
LO1_L,1.5532524987031895
LO2_L,1.9098610940611007
PIT_L,1.7882752196986513
MT_L,2.3840527616660876
A1_L,1.9116336553937625
PSL_L,2.311837835702133
SFL_L,1.8327695195345846
PCV_L,1.8552825954415522
STV_L,1.9900484038946822
7Pm_L,2.0329624412189653
7m_L,1.9688419381377615
POS1_L,2.0164790099136947
23d_L,2.160818471604938
v23ab_L,2.1799308551304195
d23ab_L,2.0916646906004908
31pv_L,2.0424036388228197
5m_L,1.8017694056536655
5mv_L,2.33215420727242
23c_L,2.2635081041398135
5L_L,1.6408850236122163
24dd_L,2.5760878775865077
24dv_L,2.8007184709294863
7AL_L,1.5258370728169026
SCEF_L,2.193188587728963
6ma_L,2.070153165010852
7Am_L,1.674654017866691
7Pl_L,1.8290332937042366
7PC_L,1.9010487456420933
LIPv_L,2.043450166265644
VIP_L,1.5350589961625287
MIP_L,1.9553758138542228
1_L,1.4041983788889876
2_L,1.6915318545359783
3a_L,2.1918529774404867
6d_L,2.0847679472241287
6mp_L,1.875849340323165
6v_L,1.8596780067421284
p24pr_L,2.7956381693183543
33pr_L,2.742256744124417
a24pr_L,3.017823872465436
p32pr_L,2.848281278802131
a24_L,1.6970018936621551
d32_L,2.5974665387606395
8BM_L,2.496147919421251
p32_L,2.153728845538872
10r_L,2.338936747892189
47m_L,1.9138122661699595
8Av_L,2.166224133311126
8Ad_L,2.4530904133535936
9m_L,2.2492829884058065
8BL_L,1.8753255165308336
9p_L,1.9191415392090738
10d_L,2.2123869578917184
8C_L,1.650842470219283
44_L,1.7143685151584689
45_L,1.804688451806534
47l_L,1.8640997030027424
a47r_L,1.7789018751978365
6r_L,1.6715073088111303
IFJa_L,1.8891576085029245
IFJp_L,2.0945747843947418
IFSp_L,2.4147249455635365
IFSa_L,2.0753480860025864
p9-46v_L,1.7711028301888496
46_L,1.9403668100830211
a9-46v_L,2.2983071697566193
9-46d_L,2.1264553431076814
9a_L,1.981690638597202
10v_L,2.4260835545548005
a10p_L,2.1232403585102646
10pp_L,1.9927334736959341
11l_L,1.9418142556586915
13l_L,2.1516967333355574
OFC_L,2.4618296064200655
47s_L,1.8811097266890724
LIPd_L,2.1003666052355747
6a_L,2.33251024456273
i6-8_L,2.2367829337091734
s6-8_L,2.2806623692213575
43_L,1.2831531441286022
OP4_L,1.5764031319965528
OP1_L,1.80958126726193
OP2-3_L,1.6533902726395489
52_L,1.9593805225366738
RI_L,2.4667247498637708
PFcm_L,2.0176691119993078
PoI2_L,1.1296244773491246
TA2_L,1.9213567741606787
FOP4_L,1.8720147686682225
MI_L,1.4550035181747933
Pir_L,1.5817586796383323
AVI_L,2.0353905352414396
AAIC_L,1.4199113592254025
FOP1_L,1.9042214941944997
FOP3_L,2.057173277870154
FOP2_L,1.8873072970277966
PFt_L,1.8635352303531478
AIP_L,2.004853681630641
EC_L,2.583511905798932
PreS_L,1.7447547981966083
H_L,2.077819852253346
ProS_L,2.4305551707538027
PeEc_L,1.8797635848150973
STGa_L,1.5013264229016812
PBelt_L,2.363466671388816
A5_L,1.570613236617444
PHA1_L,2.242223495671806
PHA3_L,2.126889308966472
STSda_L,1.7124160620598528
STSdp_L,1.7354725220857328
STSvp_L,1.7010064989504372
TGd_L,1.4534883709959299
TE1a_L,2.197412327555512
TE1p_L,1.7327488912797495
TE2a_L,1.5773380939044779
TF_L,1.9457746720616655
TE2p_L,1.5113466918971028
PHT_L,1.97239820586588
PH_L,1.9529587115260014
TPOJ1_L,2.0283586584579827
TPOJ2_L,2.382110570060255
TPOJ3_L,2.0545366396144824
DVT_L,1.7565249862506447
PGp_L,1.517835795618091
IP2_L,1.9125199184036799
IP1_L,1.6196177818541213
IP0_L,2.051554911405234
PFop_L,2.183261320547978
PF_L,1.6334389419761408
PFm_L,1.6913678829814895
PGi_L,1.7580753501322322
PGs_L,1.4132724640802274
V6A_L,1.931590175514951
VMV1_L,2.4709300815417197
VMV3_L,2.4994505251731765
PHA2_L,2.7954072120386115
V4t_L,1.9789427179008483
FST_L,2.0351811887880102
V3CD_L,2.095915670376012
LO3_L,2.078512599550905
VMV2_L,2.5513091030556554
31pd_L,2.0444988201993315
31a_L,2.4334477712884923
VVC_L,1.6275250021934227
25_L,2.0732862526267466
s32_L,2.783208972274724
pOFC_L,2.3999009864395733
PoI1_L,1.9446928420503213
Ig_L,1.7104159799832819
FOP5_L,2.195276255894076
p10p_L,1.9211670130463612
p47r_L,1.999455348711396
TGv_L,2.1066149921517665
MBelt_L,2.049962512903619
LBelt_L,2.1139670399651904
A4_L,1.9026048276060903
STSva_L,1.717398967240872
TE1m_L,2.196915458945812
PI_L,1.7066665757604276
a32pr_L,2.7844673340376476
p24_L,2.400744648300684
V1_R,1.4214153441856037
MST_R,2.1732507864758097
V6_R,2.078294313968669
V2_R,1.2859242424715458
V3_R,1.5838312929386533
V4_R,1.325514510333331
V8_R,2.1388899341764493
4_R,1.3000330053115228
3b_R,1.9385489152658784
FEF_R,1.9062525870681954
PEF_R,2.1032562943224775
55b_R,1.6815562465000655
V3A_R,1.7910102933603296
RSC_R,1.6395685948970746
POS2_R,1.675979822025198
V7_R,1.8901766621325082
IPS1_R,1.9462260128690543
FFC_R,1.857214371649515
V3B_R,2.4121118163798543
LO1_R,2.276561799032828
LO2_R,2.467768861645407
PIT_R,1.773631719947448
MT_R,2.511827766881571
A1_R,1.8671374282724968
PSL_R,2.2017335217660814
SFL_R,2.445741984597014
PCV_R,2.08615882591229
STV_R,1.882271357498538
7Pm_R,1.9103484673802704
7m_R,1.9221484121699404
POS1_R,1.7935272410131702
23d_R,2.658004092727194
v23ab_R,1.8365889153709087
d23ab_R,2.3567494679410554
31pv_R,2.3150653993727413
5m_R,1.7517551776055633
5mv_R,1.9133001615722849
23c_R,2.248280585412739
5L_R,1.9001044717323945
24dd_R,2.4476946461297953
24dv_R,2.519842089351796
7AL_R,2.098718198948031
SCEF_R,2.398202947578772
6ma_R,1.8671424725253132
7Am_R,1.798847680852609
7Pl_R,2.4071174040163226
7PC_R,1.7416641349905524
LIPv_R,1.8909114730340504
VIP_R,2.0934458698474967
MIP_R,1.577803959850792
1_R,1.487911255314445
2_R,1.6709180468179006
3a_R,2.037484723191235
6d_R,1.8751426639356361
6mp_R,2.006495376515725
6v_R,1.7487563666154886
p24pr_R,2.1653690121312006
33pr_R,2.1471903466795386
a24pr_R,2.2242814354328755
p32pr_R,2.625457975044926
a24_R,1.6894526929963107
d32_R,2.291301540868514
8BM_R,2.3783787065487805
p32_R,1.8888914709752684
10r_R,1.8549220176522947
47m_R,2.4393605937965095
8Av_R,1.889217872005243
8Ad_R,2.5647632629267654
9m_R,1.8840015158394527
8BL_R,2.0642245869328417
9p_R,2.4005415983610177
10d_R,1.900765568448574
8C_R,1.8015311719906908
44_R,1.8717347047943096
45_R,1.9481898626341712
47l_R,1.7461842663142921
a47r_R,1.9619812569722137
6r_R,1.779065929700188
IFJa_R,2.0905062719070453
IFJp_R,1.8255119443644094
IFSp_R,2.25719385237369
IFSa_R,2.445944020122413
p9-46v_R,2.1280792052869715
46_R,2.3160203821045497
a9-46v_R,2.0983888860199285
9-46d_R,2.4870152361405764
9a_R,2.537957918379961
10v_R,1.9610772647011232
a10p_R,2.4156097159994427
10pp_R,2.274206127621702
11l_R,1.9214293731522403
13l_R,2.292677020140715
OFC_R,2.901263856119913
47s_R,1.9471339972525346
LIPd_R,2.0247969958959735
6a_R,1.916275250188956
i6-8_R,2.2599216477481954
s6-8_R,2.4162490247769615
43_R,1.5937293372056276
OP4_R,1.7274407297581673
OP1_R,2.4464299195087866
OP2-3_R,2.275777411343279
52_R,2.124428126392754
RI_R,2.1269363711000944
PFcm_R,2.291940264798297
PoI2_R,2.058871752840639
TA2_R,2.3061676442691073
FOP4_R,2.134781314680421
MI_R,1.7054004396224571
Pir_R,2.601408819440403
AVI_R,1.8575907666561025
AAIC_R,2.186296587836804
FOP1_R,1.8693583423864224
FOP3_R,2.4417625765443876
FOP2_R,2.126678988426426
PFt_R,1.8039475605373458
AIP_R,1.989115553804055
EC_R,1.7381298063464594
PreS_R,1.8849002903322205
H_R,1.5003292192572149
ProS_R,2.1069415868021326
PeEc_R,2.070338076351296
STGa_R,2.026610709468372
PBelt_R,2.3524360251785636
A5_R,1.6135200042973072
PHA1_R,2.106583931070529
PHA3_R,2.6375145865734777
STSda_R,2.0782915047054606
STSdp_R,2.0574011458487607
STSvp_R,1.9591980409258067
TGd_R,2.357500999250355
TE1a_R,2.288450426990835
TE1p_R,1.9026874609409554
TE2a_R,2.0587676622968667
TF_R,1.9699380307948198
TE2p_R,1.9182919100727245
PHT_R,1.9512317446430683
PH_R,2.0421393230355815
TPOJ1_R,1.6167210928583537
TPOJ2_R,2.000617574594189
TPOJ3_R,1.7081629891716072
DVT_R,1.7862006444086471
PGp_R,1.6623171602899283
IP2_R,2.3647833701263528
IP1_R,1.6556938109243746
IP0_R,1.5785867650845875
PFop_R,1.872088137193275
PF_R,1.834429169806085
PFm_R,1.7872811052264321
PGi_R,1.6873828597683358
PGs_R,1.5533474860801215
V6A_R,1.9737630995473328
VMV1_R,2.0921816251282537
VMV3_R,2.2794771464974164
PHA2_R,2.9053178959957453
V4t_R,2.357825291770492
FST_R,2.1278303297406937
V3CD_R,2.2673473178155468
LO3_R,2.1294941632850968
VMV2_R,2.2864223131618813
31pd_R,2.385398517570082
31a_R,2.7321391011746465
VVC_R,2.276784393322091
25_R,1.9743764796861858
s32_R,2.560896107036635
pOFC_R,2.581983037248165
PoI1_R,2.232642216063828
Ig_R,2.2819768959832145
FOP5_R,1.9270047477757113
p10p_R,2.555409525011094
p47r_R,2.057710233287093
TGv_R,2.478340711862171
MBelt_R,1.82229670296558
LBelt_R,1.9862863849182506
A4_R,2.127968606450133
STSva_R,2.3001420345427372
TE1m_R,2.133899718015019
PI_R,2.435270433925717
a32pr_R,2.581948805281494
p24_R,2.403571532817554
