region,salience
V1_L,-0.7365854148216718
MST_L,-1.274871702396484
V6_L,-1.7125544974283242
V2_L,-0.9949136465938162
V3_L,-1.2274588153022403
V4_L,-1.355211514567571
V8_L,-0.5465191694877429
4_L,-1.3925130513878932
3b_L,-1.1503772475578178
FEF_L,-1.2509335272127065
PEF_L,-2.5475943089114734
55b_L,-1.3376392877865217
V3A_L,-1.3270273894159275
RSC_L,0.27145367696427986
POS2_L,-1.2740306175658975
V7_L,-2.0142509911861506
IPS1_L,-2.310626938550335
FFC_L,-1.6599789848884416
V3B_L,-2.2019464161188105
LO1_L,-1.1708486338926425
LO2_L,-1.4378580185172294
PIT_L,-1.4069183432034236
MT_L,-1.5156167158375515
A1_L,3.896354232053154
PSL_L,-0.8495165609888217
SFL_L,-0.6443554280711243
PCV_L,-1.1315952480063438
STV_L,-1.341512514473193
7Pm_L,-2.0784512074034764
7m_L,-0.6008155620357033
POS1_L,-0.29633673074678973
23d_L,0.03154791889603825
v23ab_L,1.3686139429313697
d23ab_L,0.3253667802094983
31pv_L,-0.8095561961936596
5m_L,-1.2649368171611317
5mv_L,-1.3554850174747484
23c_L,-0.7972098904436881
5L_L,-0.4835643597547128
24dd_L,-1.1274857594046315
24dv_L,-0.4604435863562646
7AL_L,-1.1459206222872125
SCEF_L,-1.802453136121347
6ma_L,-1.1187433910616986
7Am_L,-1.0961883009956013
7Pl_L,-1.4547399358067237
7PC_L,-1.2043083157650614
LIPv_L,-2.3631478982294967
VIP_L,-1.1996361430916844
MIP_L,-2.1919939966775615
1_L,-0.9430341290910045
2_L,-1.822673335458306
3a_L,-1.1534145206566264
6d_L,-1.0608388019847679
6mp_L,-1.292276701466732
6v_L,-1.409067646604005
p24pr_L,-0.08551825302811566
33pr_L,1.9329909893550157
a24pr_L,2.360167109638208
p32pr_L,-0.4519291792889719
a24_L,1.8339515440846765
d32_L,0.027154516850554027
8BM_L,-1.4673778138804996
p32_L,0.446714050205358
10r_L,0.14132871138600264
47m_L,0.5445535624977674
8Av_L,-1.041938333385224
8Ad_L,-0.1080734464315901
9m_L,-0.3015590478532959
8BL_L,0.521122401487759
9p_L,-1.5382349156199067
10d_L,0.8822260241756501
8C_L,-2.051611399965095
44_L,-2.629465613184332
45_L,-1.3070753749238901
47l_L,-0.23519100124571954
a47r_L,-1.0919757747188383
6r_L,-1.855719183007028
IFJa_L,-2.749397375046247
IFJp_L,-2.383059689624822
IFSp_L,-2.4937419686931754
IFSa_L,-2.0106182081953086
p9-46v_L,-1.7105038985737915
46_L,-0.7773575429359405
a9-46v_L,-1.2935203342946489
9-46d_L,-0.5653910941054204
9a_L,-1.090483983552833
10v_L,-0.11200342318252623
a10p_L,-1.1952186915036032
10pp_L,-0.3793991208253515
11l_L,0.08132077872000905
13l_L,0.315546389906004
OFC_L,-0.5222385818272784
47s_L,1.7553039209550696
LIPd_L,-2.665465511425725
6a_L,-1.6764066513277474
i6-8_L,-1.9958410373236144
s6-8_L,0.9445066533848758
43_L,2.5344092460505094
OP4_L,0.6139790405432046
OP1_L,2.119608488402659
OP2-3_L,4.390686297946569
52_L,8.014958785917354
RI_L,2.0310165655724486
PFcm_L,0.05456331764778049
PoI2_L,14.401312745574259
TA2_L,5.166415064064813
FOP4_L,6.889569515222019
MI_L,15.911122710922267
Pir_L,4.818867248132034
AVI_L,6.448685404648886
AAIC_L,9.457432441433934
FOP1_L,6.149832119845316
FOP3_L,10.07105727180875
FOP2_L,4.957832411008005
PFt_L,-1.499770836198159
AIP_L,-2.0034521932332043
EC_L,0.39222574152508216
PreS_L,-1.143662610080035
H_L,-0.9973515955852552
ProS_L,-1.1026428220934612
PeEc_L,0.07443331247163694
STGa_L,0.18830876097535545
PBelt_L,0.02743991762948771
A5_L,-0.6344529454290455
PHA1_L,-1.179746616190487
PHA3_L,-1.270106117250465
STSda_L,0.5161421951309411
STSdp_L,-1.3962686791718029
STSvp_L,-2.445436779551774
TGd_L,-0.34076064276833806
TE1a_L,-0.6166940004405655
TE1p_L,-2.095198484166177
TE2a_L,-0.6956381665369421
TF_L,-0.9016760220180323
TE2p_L,-1.4129955371239646
PHT_L,-2.0709402411134703
PH_L,-1.9538189424065793
TPOJ1_L,-2.012387234780128
TPOJ2_L,-2.3143969655130463
TPOJ3_L,-1.5812396970282632
DVT_L,-1.9208925804329595
PGp_L,-1.2301893944507263
IP2_L,-2.9336188111913413
IP1_L,-2.712230352542607
IP0_L,-2.5136169215620723
PFop_L,-0.08984271543495224
PF_L,-0.807445895386682
PFm_L,-1.6897783499467058
PGi_L,-1.7317647452013625
PGs_L,-0.8993624223605847
V6A_L,-1.631357282994377
VMV1_L,-1.6387235841598924
VMV3_L,-1.0314311494241748
PHA2_L,-1.7337695677677576
V4t_L,-1.3701429774872202
FST_L,-2.166489109637981
V3CD_L,-1.8939413559331266
LO3_L,-0.9355727823766223
VMV2_L,-1.6211692630152754
31pd_L,-1.3746882073837559
31a_L,-0.8389768354279564
VVC_L,-0.8230706604666367
25_L,0.18702212253356434
s32_L,0.17849244059151448
pOFC_L,0.6280709479702836
PoI1_L,9.879022838574011
Ig_L,8.317065515233814
FOP5_L,4.022166960928556
p10p_L,-1.1563710405762035
p47r_L,-1.9057447595378754
TGv_L,-0.36143620205401966
MBelt_L,7.993337168717612
LBelt_L,1.6938269172708114
A4_L,-0.5012980831234272
STSva_L,-0.39810635301954533
TE1m_L,-0.7932167542176735
PI_L,4.255265402685832
a32pr_L,0.7914368782974606
p24_L,1.9485872662976407
V1_R,-1.0568186800487327
MST_R,-0.7639917173240659
V6_R,-1.166544051712199
V2_R,-1.027907029860257
V3_R,-1.11061910284781
V4_R,-1.168423326039862
V8_R,-1.9900570320638071
4_R,-1.1016256427009323
3b_R,-0.7977740750336584
FEF_R,-0.5960855256962997
PEF_R,-0.33568034625151616
55b_R,-0.6271418454977069
V3A_R,-1.4110620009979096
RSC_R,0.4946431804634576
POS2_R,-0.8132297238977166
V7_R,-1.9859338830015838
IPS1_R,-2.2536655138940698
FFC_R,-1.3680724546522045
V3B_R,-1.7203348260176095
LO1_R,-1.2142729443497613
LO2_R,-1.3648025336562837
PIT_R,-1.8317218934680952
MT_R,-1.0799748388069284
A1_R,6.200211289368345
PSL_R,0.25236848779490917
SFL_R,0.055266111464509424
PCV_R,-1.2596293650248418
STV_R,0.65278937934312
7Pm_R,-1.868086151964037
7m_R,-0.11572736233010054
POS1_R,-0.36347666096815356
23d_R,0.361893686022257
v23ab_R,1.1667776462045896
d23ab_R,0.28753771938990436
31pv_R,0.06491191125885885
5m_R,-0.907689023144205
5mv_R,-0.936707770281039
23c_R,-0.5497702593123435
5L_R,-0.5096946599261459
24dd_R,-0.3484491456707777
24dv_R,-0.5917504854245674
7AL_R,-0.8399732523503358
SCEF_R,0.3209377686453292
6ma_R,-0.8654504107985119
7Am_R,-1.1605059954617065
7Pl_R,-1.6813508311649434
7PC_R,-1.0553742841008955
LIPv_R,-1.2512170597330392
VIP_R,-1.208523601962607
MIP_R,-1.6985512281980681
1_R,-0.732222249294211
2_R,-0.6398232333769562
3a_R,-0.7196926812311296
6d_R,-1.1651215556531305
6mp_R,-1.0268338847396656
6v_R,-0.7470400291544158
p24pr_R,0.0506494329462714
33pr_R,1.7992623391427987
a24pr_R,1.8114785581763477
p32pr_R,-0.14223392939477122
a24_R,1.9539326130294594
d32_R,0.3708067943342179
8BM_R,-0.41649430895975853
p32_R,1.6843432262650988
10r_R,0.4245741078471043
47m_R,0.27264518608672494
8Av_R,-1.1958799863779213
8Ad_R,-0.7639698144039857
9m_R,-0.01427057677280667
8BL_R,-0.8320770724461307
9p_R,0.4173557272356154
10d_R,0.20334362756774868
8C_R,-1.5509625934399138
44_R,-0.0156596620196035
45_R,1.4663504695642637
47l_R,0.49437723740816913
a47r_R,-0.9000476956429164
6r_R,0.8184712942333506
IFJa_R,-2.007794877907611
IFJp_R,-1.8208775559254093
IFSp_R,-1.0019038161630296
IFSa_R,-1.0117007109696292
p9-46v_R,-1.1154123730756837
46_R,-1.02188072705121
a9-46v_R,-0.9088144704799853
9-46d_R,-0.12474616282642476
9a_R,-0.5300673372176427
10v_R,-0.35689403372664613
a10p_R,-0.881808123575716
10pp_R,0.06570020669350181
11l_R,-0.5744876350313239
13l_R,-0.8114031675638087
OFC_R,0.05894238535453861
47s_R,3.0436578448759932
LIPd_R,-2.141997885640095
6a_R,-1.4710250993148606
i6-8_R,-0.9869469462010915
s6-8_R,-0.5728591242085821
43_R,1.7951908703943176
OP4_R,1.0435022498746112
OP1_R,5.565643881889767
OP2-3_R,5.864631159904868
52_R,7.495836377228263
RI_R,3.1955325632086056
PFcm_R,2.1362463520503767
PoI2_R,13.683800385898662
TA2_R,5.033069269025295
FOP4_R,9.62610336998742
MI_R,15.940140418108184
Pir_R,4.51390517056927
AVI_R,6.775653701202575
AAIC_R,9.133350208803483
FOP1_R,9.464288751668537
FOP3_R,9.634613799797318
FOP2_R,5.478132427279149
PFt_R,-0.08493224979173337
AIP_R,-1.3878712599949636
EC_R,0.5874375562586746
PreS_R,-1.189643386501115
H_R,-0.1497210576529368
ProS_R,-0.3709308800655952
PeEc_R,-0.31600455869787725
STGa_R,1.143399745189949
PBelt_R,0.7210317856817239
A5_R,-1.3622905738397073
PHA1_R,-0.9246286069840398
PHA3_R,-1.358204908755472
STSda_R,0.02714991878277463
STSdp_R,0.057098222078732254
STSvp_R,-1.3886705356934417
TGd_R,0.06366284099318721
TE1a_R,-0.023682247451401312
TE1p_R,-1.0495336498828693
TE2a_R,-0.1363558091857473
TF_R,-0.47981699090775365
TE2p_R,-0.8908769532564493
PHT_R,-0.5093256993387549
PH_R,-1.7432332389190741
TPOJ1_R,-0.5099041499205766
TPOJ2_R,-1.1809523062297513
TPOJ3_R,-1.1625926141064178
DVT_R,-1.5277406484147407
PGp_R,-0.20677647568737498
IP2_R,-1.941463355432139
IP1_R,-1.6891202897512814
IP0_R,-1.138606564492859
PFop_R,0.8973142080741734
PF_R,-0.21059770946379439
PFm_R,-0.7896833441085395
PGi_R,-1.2444724394791464
PGs_R,-0.5678931882278275
V6A_R,-1.580667380828822
VMV1_R,-0.7610453783954668
VMV3_R,-0.8127564830828837
PHA2_R,-0.7326533287754955
V4t_R,-1.105774350283254
FST_R,-0.9816219403243714
V3CD_R,0.3861365960025278
LO3_R,-0.259677787741636
VMV2_R,-0.8786846994980609
31pd_R,-0.47298874205552455
31a_R,0.11416774384216141
VVC_R,-1.2106479126107874
25_R,0.8042162261590136
s32_R,0.6166591673328649
pOFC_R,0.6352348683716205
PoI1_R,11.562082452042528
Ig_R,10.369847765271555
FOP5_R,4.294397533996104
p10p_R,-1.382669277933651
p47r_R,-1.7163008573949903
TGv_R,-0.5037195350546647
MBelt_R,4.683627080944613
LBelt_R,2.5261164057387746
A4_R,-0.2284241843541744
STSva_R,-0.5903814848132718
TE1m_R,-0.3938272062894799
PI_R,5.863563713507623
a32pr_R,0.8967474035232237
p24_R,1.8058677659755122
